"Gene.Symbols","Gene.Name","Gene","AR","AD","XL","IS"
"CEP104, GLYBP, KIAA0562, JBTS25","Centrosomal protein, 104kD","CEP104","Y","N","N","N"
"DFFB, CAD, DFF2","DNA fragmentation factor, 40kD, beta subunit","DFFB",,,,
"AJAP1, SHREW1","Adherens junction-associated protein 1","AJAP1",,,,
"DFNB96","Deafness, autosomal recessive 96","DFNB96","Y","N","N","N"
"NPHP4, SLSN4","Nephrocystin 4","NPHP4","Y","N","N","N"
"KCNAB2, KCNA2B","Potassium voltage-gated channel, shaker-related subfamily, beta member 2","KCNAB2",,,,
"CHD5","Chromodomain helicase DNA-binding protein 5","CHD5",,,,
"RPL22, EAP","Ribosomal protein L22","RPL22",,,,
"RNF207, C1orf188","RING finger protein 207","RNF207",,,,
"ICMT","Isoprenylcysteine carboxylmethyltransferase","ICMT",,,,
"HES3","Hairy/enhancer of split, Drosophila, homolog of, 3","HES3",,,,
"GPR153","G protein-coupled receptor 153","GPR153",,,,
"ACOT7, BACH, LACH","Acyl-CoA thioesterase 7","ACOT7",,,,
"HES2","Hairy/enhancer of split, Drosophila, homolog of, 2","HES2",,,,
"ESPN","Espin, mouse, homolog of","ESPN","Y","Y","N","N"
"TNFRSF25, TNFRSF12, DR3, LARD","Tumor necrosis factor receptor superfamily, member 25","TNFRSF25",,,,
"PLEKHG5, KIAA0720, DSMA4, CMTRIC","Pleckstrin homology domain-containing protein, family G, member 5","PLEKHG5","Y","N","N","N"
"TAS1R1, T1R1","Taste receptor type 1, member 1","TAS1R1",,,,
"ZBTB48, HKR3","Zinc finger- and BTB domain-containing protein 48","ZBTB48",,,,
"KLHL21, KIAA0469","Kelch-like 21","KLHL21",,,,
"THAP3","THAP domain-containing protein 3","THAP3",,,,
"DNAJC11","DNAJ/HSP40 homolog, subfamily C, member 11","DNAJC11",,,,
"CAMTA1, KIAA0833, CANPMR","Calmodulin-binding transcription activator 1","CAMTA1","N","Y","N","N"
"GLC3B","Glaucoma 3, primary infantile, B","GLC3B","Y","N","N","N"
"SCZD12","Schizophrenia 12","","N","Y","N","N"
"VAMP3","Vesicle-associated membrane protein 3","VAMP3",,,,
"PER3, FASPS3","Period, Drosophila, homolog of, 3","PER3","N","Y","N","N"
"UTS2","Urotensin II","UTS2",,,,
"TNFRSF9, ILA, CD137","Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)","TNFRSF9",,,,
"DJ1, PARK7","Oncogene DJ-1","PARK7","Y","N","N","N"
"MIG6, RALT","Mitogen-inducible gene 6","ERRFI1",,,,
"SLC45A1, DNB5","Solute carrier family 45, member 1","SLC45A1",,,,
"RERE, NEDBEH","RE repeats-encoding gene","RERE","N","Y","N","N"
"ENO1, PPH, MPB1","Enolase-1, alpha","ENO1","N","N","N","N"
"CA6","Carbonic anhydrase VI","CA6",,,,
"SLC2A7, GLUT7","Solute carrier family 2 (facilitated glucose transporter), member 7","SLC2A7",,,,
"SLC2A5, GLUT5","Solute carrier family 2 (facilitated glucose transporter), member 5","SLC2A5",,,,
"MIR34A, MIRN34A","Micro RNA 34A","MIR34A",,,,
"H6PD, GDH, G6PDH, CORTRD1","Hexose-6-phosphate dehydrogenase","H6PD","Y","N","N","N"
"SPSB, SSB1","SPRY domain- and SOCS box-containing 1","SPSB1",,,,
"SLC25A33","Solute carrier family 25 (mitochondrial carrier), member 33","SLC25A33",,,,
"PIK3CD, APDS, IMD14","Phosphatidylinositol 3-kinase, catalytic, 110kD, delta","PIK3CD","N","Y","N","N"
"CLSTN1, KIAA0911","Calsyntenin 1","CLSTN1",,,,
"CTNNBIP1, ICAT","Catenin, beta-interacting protein 1","CTNNBIP1",,,,
"LZIC","Leucine zipper and CTNNBIP1 domains-containing protein","LZIC",,,,
"NMNAT1, NMNAT, PNAT1, LCA9","Nicotinamide nucleotide adenylyltransferase 1","NMNAT1","Y","N","N","N"
"UBE4B, UFD2A, KIAA0684","Ubiquitination factor E4B","UBE4B",,,,
"KIF1B, CMT2A, CMT2A1, NBLST1","Kinesin family member 1B","KIF1B","N","Y","N","Y"
"PGD","6-phosphogluconate dehydrogenase","PGD",,,,
"APITD1","Apoptosis-inducing, TAF9-like domain 1","APITD1",,,,
"CORT","Cortistatin","CORT",,,,
"DFFA, DFF1","DNA fragmentation factor, 45kD, alpha subunit","DFFA",,,,
"PEX14, PBD13A","Peroxisome biogenesis factor 14","PEX14","N","N","N","N"
"CASZ1, SRG","Castor zinc finger protein 1","CASZ1",,,,
"TARDBP, TDP43, ALS10","TAR DNA-binding protein","TARDBP","N","Y","N","N"
"MASP2","Mannan-binding lectin serine protease 2","MASP2","Y","N","N","N"
"SRM, SPS1","Spermidine synthase-1","SRM",,,,
"EXOSC10, PMSCL2","Exosome component 10","EXOSC10",,,,
"MTOR, FRAP1, SKS","Mechanistic target of rapamycin","MTOR","N","N","N","N"
"UBIAD1, TERE1, SCCD","UbiA prenyltransferase domain-containing protein 1","UBIAD1","N","Y","N","N"
"PTCHD2, DISP3, KIAA1337","Patched domain-containing protein 2","DISP3",,,,
"FBXO2, FBX2, FBG1, NFB42","F-box only protein 2","FBXO2",,,,
"FBXO44, FBX44, FBX6A, FBG3","F-box only protein 44","FBXO44",,,,
"FBXO6, FBX6, FBG2","F-box only protein 6","FBXO6",,,,
"MAD2L2, MAD2B","Mitotic arrest-deficient 2, S. cerevisiae, homolog-like 2","MAD2L2",,,,
"DRAXIN, C1orf187","Dorsal repulsive axon guidance protein","DRAXIN",,,,
"MTHFR","Methylenetetrahydrofolate reductase","MTHFR","Y","Y","N","N"
"CLCN6","Chloride channel 6","CLCN6",,,,
"NPPA, PND, ANP, ATFB6, ATRST2","Natriuretic peptide precursor A","NPPA","Y","Y","N","N"
"NPPB, BNP","Natriuretic peptide precursor B","NPPB",,,,
"PLOD1, LH1, LLH, EDS6","Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)","PLOD1","Y","N","N","N"
"MFN2, KIAA0214, CMT2A2, HMSN6A","Mitofusin 2","MFN2","Y","Y","N","N"
"TNFRSF8, CD30, D1S166E","Tumor necrosis factor receptor superfamily, member 8 (CD30 antigen; Ki-1 antigen)","TNFRSF8",,,,
"TNFRSF1B, TNFR2, TNFBR","Tumor necrosis factor receptor superfamily, member 1B","TNFRSF1B",,,,
"GBD2","Gallbladder disease 2","GBD2","N","N","N","N"
"DHRS3, RETSDR1","Short-chain dehydrogenase/reductase family, member 3","DHRS3",,,,
"LRRC38","Leucine-rich repeat-containing protein 38","LRRC38",,,,
"PDPN, TI1A, T1A2, GP36, OTS8, AGGRUS","Podoplanin","PDPN",,,,
"PRDM2, RIZ","PR domain-containing protein 2 (retinoblastoma protein-binding zinc-finger protein RIZ)","PRDM2",,,,
"EFHD2, SWS1","EF-hand domain family, member D2","EFHD2",,,,
"CTRC, CLCR","Chymotrypsin","CTRC","N","Y","N","N"
"CELA2A, ELA2A","Chymotrypsin-like elastase family, member 2A","CELA2A",,,,
"CELA2B, ELA2B","Chymotrypsin-like elastase family, member 2B","CELA2B",,,,
"CASP9, APAF3","Caspase 9, apoptosis-related cysteine protease","CASP9",,,,
"RSC1A1, RS1","Regulatory solute carrier protein, family 1, member 1","RSC1A1",,,,
"PLEKHM2, SKIP, KIAA0842","Pleckstrin homology domain-containing protein, family M, member 2","PLEKHM2",,,,
"SLC25A34","Solute carrier family 25, member 34","SLC25A34",,,,
"FBLP1, MIGFILIN","Filamin-binding LIM protein 1","FBLIM1",,,,
"SPEN, MINT, SHARP, HIAA0929","SPEN, Drosophila, homolog of","SPEN",,,,
"ANIB3","Aneurysm, intracranial berry, 3","ANIB3","N","Y","N","N"
"EA8","Episodic ataxia, type 8","","N","Y","N","N"
"MEMO1","Methylation modifier for class I HLA","",,,,
"ZBTB17, ZNF151, MIZ1","Zinc finger- and BTB domain-containing protein 17","ZBTB17",,,,
"HSPB7, CVHSP","Heat-shock 27kD protein 7","HSPB7",,,,
"CLCNKA","Chloride channel, kidney, A","CLCNKA","N","N","N","N"
"CLCNKB","Chloride channel, kidney, B","CLCNKB","Y","N","N","N"
"EPHA2, ECK, ARCC2, CTPP1, CTPA, ARCC2, CTRCT6","Ephrin receptor EphA2","EPHA2","N","Y","N","N"
"ARHGEF19, WGEF","RHO guanine nucleotide exchange factor 19","ARHGEF19",,,,
"FBXO42, FBX42, KIAA1332","F-box only protein 42","FBXO42",,,,
"NECAP2","NECAP endocytosis-associated protein 2","NECAP2",,,,
"TRNAG1, TRG1","tRNA glycine-1","",,,,
"NBPF1, KIAA1693","Neuroblastoma breakpoint family, member 1","NBPF1",,,,
"RNU1A, RNU1","RNA, U1A small nuclear","RNU1-4",,,,
"TRNAE1, TRNE, TRE","tRNA glutamic acid","TRE-TTC3-1",,,,
"CROCC, ROOTLETIN, KIAA0445","Ciliary rootlet coiled-coil protein","CROCC",,,,
"MFAP2, MAGP, MAGP1","Microfibrillar-associated protein-2","MFAP2",,,,
"ATP13A2, PARK9, KRPPD, CLN12","ATPase, type 13A2","ATP13A2","Y","N","N","N"
"SDHB, SDH2, SDHIP, PGL4, CWS2","Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)","SDHB","N","Y","N","Y"
"PADI2","Peptidylarginine deiminase, type II","PADI2",,,,
"PADI1","Peptidylarginine deiminase, type I","PADI1",,,,
"PADI3","Peptidylarginine deiminase, type III","PADI3",,,,
"PADI4, PADI5, PAD","Peptidylarginine deiminase, type IV","PADI4","N","N","N","N"
"PADI6","Peptidylarginine deiminase, type VI","PADI6",,,,
"ARHGEF10L, GRINCHGEF, KIAA1626","RHO guanine nucleotide exchange factor 10-like protein","ARHGEF10L",,,,
"PAX7, RMS2","Paired box homeotic gene-7","PAX7","Y","N","N","N"
"TAS1R2, T1R2","Taste receptor type 1, member 2","TAS1R2",,,,
"ALDH4A1, ALDH4, P5CDH","Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)","ALDH4A1","Y","N","N","N"
"UBR4, ZUBR1, RBAF600, KIAA1307","Ubiquitin protein ligase E3 component n-recognin 4","UBR4",,,,
"EMC1, KIAA0090, CAVIPMR","Endoplasmic reticulum membrane protein complex, subunit 1","EMC1","Y","N","N","N"
"AKR7A4, AFAR3","Aldo-keto reductase family 7, member A4","AKR7L",,,,
"AKR7A3, AFAR2","Aldo-keto reductase family 7, member A3","AKR7A3",,,,
"AKR7A2, AKR7, AFAR","Aldo-keto reductase family 7, member A2","AKR7A2",,,,
"PQLC2","PQ loop repeat-containing protein 2","PQLC2",,,,
"CAPZB, CAPPB","Capping protein (actin filament) muscle Z-line, beta","CAPZB",,,,
"MINOS1, MIO10, MIC10","Mitochondrial inner membrane organizing system protein 1","MINOS1",,,,
"D1S1733E, DAN","Differential-screening-selected gene aberrant in neuroblastoma","NBL1",,,,
"HTR6","5-hydroxytryptamine (serotonin) receptor-6","HTR6",,,,
"OTUD3, KIAA0459","OTU domain-containing protein 3","OTUD3",,,,
"PLA2G2A, PLA2B, PLA2L, MOM1","Phospholipase A2, group IIA, platelets, synovial fluid","PLA2G2A","N","Y","N","N"
"PLA2G5, FRFB","Phospholipase A2, group V","PLA2G5","Y","N","N","N"
"B6QTL1","Vitamin B6 plasma level QTL 1","","N","N","N","N"
"BFIS4, BFIC4","Seizures, benign familial infantile, 4","","N","N","N","N"
"PLA2G2D, SPLASH","Phospholipase A2, group IID","PLA2G2D",,,,
"PLA2G2F","Phospholipase A2, group IIf","PLA2G2F",,,,
"UBXN10","UBX domain protein 10","UBXN10",,,,
"CAMK2N1","Calcium/calmodulin-dependent protein kinase II inhibitor 1","CAMK2N1",,,,
"MUL1, MULAN, C1orf166","Mitochondrial ubiquitin ligase activator of NFKB1","MUL1",,,,
"CDA","Cytidine deaminase","CDA",,,,
"PINK1, PARK6","PTEN-induced putative kinase 1","PINK1","Y","N","N","N"
"DDOST, OST, OST48, CDG1R","Dolichyl-diphosphooligosaccharide-protein glycosyltransferase","DDOST","Y","N","N","N"
"KIF17, KIAA1405","Kinesin family member 17","KIF17",,,,
"HP1BP3, HP1BP74","Heterochromatin protein 1-binding protein 3","HP1BP3",,,,
"EIF4G3, EIF4GII","Eukaryotic translation initiation factor 4-gamma, 3","EIF4G3",,,,
"ECE1","Endothelin converting enzyme 1","ECE1","N","N","N","N"
"NBPF3","Neuroblastoma breakpoint family, member 3","NBPF3",,,,
"ALPL, HOPS, TNSALP","Alkaline phosphatase, liver/bone/kidney","ALPL","Y","Y","N","N"
"RAP1GA1","RAP1, GTPase activating protein 1","RAP1GAP",,,,
"HSPG2, PLC, SJS, SJA, SJS1","Heparan sulfate proteoglycan of basement membrane (perlecan)","HSPG2","Y","N","N","N"
"CDC42, TKS","Cell division cycle 42 (GTP-binding protein, 25kD)","CDC42","N","N","N","N"
"WNT4, SERKAL","Wingless-type MMTV integration site family, member 4","WNT4","N","Y","N","N"
"ZBTB40, KIAA0478","Zinc finger- and BTB domain-containing protein 40","ZBTB40",,,,
"EPHA8, EEK, HEK3","Ephrin receptor EphA8 (eph- and elk-related kinase)","EPHA8",,,,
"C1QA","Complement component 1, q subcomponent, A chain","C1QA","Y","N","N","N"
"C1QC, C1QG","Complement component 1, q subcomponent, C chain","C1QC","Y","N","N","N"
"C1QB","Complement component 1, q subcomponent, B chain","C1QB","Y","N","N","N"
"EPHB2, EPHT3, DRT, ERK, PCBC, CAPB","eph tyrosine kinase 3 (ephrin receptor EphB2)","EPHB2","N","N","N","N"
"KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF","Lysine-specific demethylase 1A","KDM1A","N","Y","N","N"
"LUZP1","Leucine zipper protein 1","LUZP1",,,,
"HTR1D","5-hydroxytryptamine (serotonin) receptor-1D","HTR1D",,,,
"HNRPR, HNRNPR","Heterogeneous nuclear ribonucleoprotein R","HNRNPR",,,,
"ZNF436, KIAA1710","Zinc finger protein 436","ZNF436",,,,
"TCEA3","Transcription elongation factor A, 3","TCEA3",,,,
"ASAP3, UPLC1, CENTB6, DDEFL1, ACAP4","ARF GTPase-activating protein with SH3 domain, ankyrin repeat, and PH domain 3","ASAP3",,,,
"E2F2","E2F transcription factor 2","E2F2",,,,
"ID3","Inhibitor of DNA binding 3, dominant negative, helix-loop-helix protein","ID3",,,,
"MDS2","Myelodysplasia syndrome gene 2","MDS2",,,,
"RPL11, DBA7","Ribosomal protein L11","RPL11","N","N","N","N"
"TCEB3","Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)","TCEB3",,,,
"LYPLA2, APT2","Lysophospholipase II","LYPLA2",,,,
"GALE","UDP galactose-4-epimerase","GALE","Y","N","N","N"
"HMGCL","3-hydroxy-3-methylglutaryl-Coenzyme A lyase","HMGCL","Y","N","N","N"
"FUCA1","Fucosidase, alpha-L- 1, tissue","FUCA1","Y","N","N","N"
"CNR2, CB2, CX5","Cannabinoid receptor 2","CNR2",,,,
"PNRC2","Proline-rich nuclear receptor coactivator 2","PNRC2",,,,
"SRSF10, FUSIP1, TASR, TASR1, TASR2","Splicine factor, serine/arginine-rich, 10","SRSF10",,,,
"MYOM3","Myomesin 3","MYOM3",,,,
"IFNLR1, IL28RA","Interferon, lambda receptor 1","IFNLR1",,,,
"GRHL3, SOM, TFCP2L4, VWS2","Grainyhead-like 3","GRHL3","N","Y","N","N"
"STPG1, MAPO2, C1orf201","Sperm-tail PG-rich repeat-containing protein 1","STPG1",,,,
"RCAN3, DSCR1L2, MCIP3","Regulator of calcineurin 3","RCAN3",,,,
"SRRM1, SRM160","Serine/arginine repetitive matrix 1 (ser/arg-related nuclear matrix protein, 160kD)","SRRM1",,,,
"RUNX3, CBFA3, PEBP2A3, AML2","Runt-related transcription factor 3","RUNX3",,,,
"SYF2, P29","SYF2 RNA splicing factor, S. cerevisiae, homolog of","SYF2",,,,
"RHD","Rhesus system D polypeptide","RHD","N","N","N","N"
"TMEM50A, SMP1","Transmembrane protein 50A","TMEM50A",,,,
"RHCE","Rhesus system C and E polypeptides","RHCE","N","N","N","N"
"TMEM57, FLJ10747","Transmembrane protein 57","TMEM57",,,,
"LDLRAP1, ARH, FHCB2, FHCB1","Low density lipoprotein receptor adaptor protein 1","LDLRAP1","Y","N","N","N"
"MAN1C1","Mannosidase, alpha, class 1C, member 1","MAN1C1",,,,
"SEPN1, SELN, RSMD1, CFTD","Selenoprotein N","SEPN1","Y","Y","N","N"
"PAQR7, MPRA, PGLP","Progestin and ADIPOQ receptor family, member 7","PAQR7",,,,
"STMN1, LAP18, SMN","Stathmin","STMN1",,,,
"PAFAH2","Platelet-activating factor acetylhydrolase 2","PAFAH2",,,,
"EXTL1","Exostosin-like 1","EXTL1",,,,
"SLC30A2, ZNT2, TNZD","Solute carrier family 30 (zinc transporter), member 2","SLC30A2","N","Y","N","N"
"TRIM63, RNF28, SMRZ, MURF1","Tripartite motif containing 63","TRIM63",,,,
"PDIK1L","PDLIM1-interacting kianse 1-like","PDIK1L",,,,
"ZNF593, ZT86","Zinc finger protein 593","ZNF593",,,,
"CNKSR1, CNK1","Connector enhancer of KSR 1","CNKSR1",,,,
"CATSPER4","Cation channel, sperm-associated, 4","CATSPER4",,,,
"SH3BGRL3","SH3 domain-binding glutamic acid-rich protein-like protein 3","SH3BGRL3",,,,
"UBXN11, SOC","UBX domain protein 11","UBXN11",,,,
"CD52, CDW52","CD52 molecule","CD52",,,,
"ZNF683, HOBIT","Zinc finger protein 683","ZNF683",,,,
"LIN28, LIN28A","Lin28, C. elegans, homolog of","LIN28A",,,,
"DHDDS, HDS, RP59","Dehydrodolichyl diphosphate synthase","DHDDS","Y","N","N","N"
"HMGN2, HMG17","High-mobility group nucleosomal binding protein 2","HMGN2",,,,
"RPS6KA1, RSK1","Ribosomal protein S6 kinase, 90kD, 1","RPS6KA1",,,,
"ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2","AT rich interactive domain 1A, SWI-like","ARID1A","N","Y","N","N"
"PIGV, HPMRS1","Phosphatidylinositol glycan, class V","PIGV","Y","N","N","N"
"SFN","Stratifin","SFN",,,,
"NUDC","Nuclear distribution gene C, A. nigulans, homolog of","NUDC",,,,
"NR0B2, SHP","Nuclear receptor subfamily 0, group B, member 2","NR0B2","Y","Y","N","N"
"KDF1, C1orf172","Keratinocyte differentiation factor 1","KDF1",,,,
"TRNP1","TMF1-regulated nuclear protein 1","TRNP1",,,,
"SLC9A1, NHE1, APNH, LIKNS","Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)","SLC9A1","Y","N","N","N"
"SYTL1, SLP1, JFC1","Synaptotagmin-like protein 1","SYTL1",,,,
"MAP3K6, MAPKKK6, ASK2","Mitogen-activated protein kinase kinase kinase 6","MAP3K6",,,,
"FCN3, HAKA1","Ficolin 3","FCN3","Y","N","N","N"
"GPR3","G protein-coupled receptor-3","GPR3",,,,
"WASF2, WAVE2, SCAR2","Wiskott-Aldrich syndrome protein family, member 2","WASF2",,,,
"AHDC1, MRD25","AT-hook DNA-binding motif-containing protein 1","AHDC1","N","Y","N","N"
"EBVS1","Epstein-Barr virus integration site","EBVS1",,,,
"FGR, SRC2","Oncogene FGR","FGR",,,,
"G1P3, IFI616","Interferon, alpha-inducible protein (clone IFI-6-16)","IFI6",,,,
"PPP1R8, NIPP1, ARD1","Protein phosphatase-1, regulatory subunit-8","PPP1R8",,,,
"RPA2","Replication protein A2, 32kD","RPA2",,,,
"EYA3","Eyes absent, Drosophila, homolog of, 3","EYA3",,,,
"PTAFR","Platelet-activating factor receptor","PTAFR",,,,
"ATP1F1, IF1","ATPase inhibitory factor 1","ATPIF1",,,,
"SEST2, HI95","Sestrin 2","SESN2",,,,
"MED18","Mediator complex subunit 18","MED18",,,,
"PHACTR4","Phosphatase and actin regulator 4","PHACTR4",,,,
"CHC1, RCC1","Regulator of chromosome condensation","RCC1",,,,
"RNU17D, U17HG","RNA, U17d small nucleolar","SNHG3",,,,
"RNU17A, RNE1","RNA, U17a small nucleolar","SNORA73A",,,,
"RNU17B","RNA, U17b small nucleolar","SNORA73B",,,,
"TAF12","TAF12 RNA polymerase II, TATA box-binding protein-associated factor, 20kD","TAF12",,,,
"GMEB1","Glucocorticoid modulatory element-binding protein 1","GMEB1",,,,
"YTHDF2","YTH N6-methyladenosine RNA-binding protein 2","YTHDF2",,,,
"OPRD1","Opioid receptor, delta-1","OPRD1",,,,
"EPB41, EL1","Erythrocyte surface protein band 4.1","EPB41","N","N","N","N"
"SRSF4, SFRS4, SRp75","Splicing factor, serine/arginine-rich, 4","SRSF4",,,,
"MECR, NRBF1","Mitochondrial trans-2-enoyl-CoA reductase","MECR",,,,
"PTPRU, GLEPP1, PTPU2","Protein tyrosine phosphatase, receptor type, U","PTPRU",,,,
"MATN1, CRTM, CMP","Matrilin 1, cartilage matrix protein","MATN1",,,,
"LAPTM5","Lysosomal-associated multispanning membrane protein-5","LAPTM5",,,,
"SDC3, SYND3, SDCN","Syndecan 3","SDC3","Y","Y","N","N"
"PUM1, KIAA0099","Pumilio, Drosophila, homolog of, 1","PUM1",,,,
"NKAIN1","Na+/K+ transporting ATPase-interacting 1","NKAIN1",,,,
"SNRNP40, SPF38, PRPF8BP","Small nuclear ribonucleoprotein 40kDa (U5)","SNRNP40",,,,
"FABP3","Fatty acid-binding protein 3, muscle","FABP3",,,,
"SERINC2","Serine incorporator 2","SERINC2",,,,
"TINAGL1, TINAGRP","Tubulointerstitial nephritis antigen-like protein 1","TINAGL1",,,,
"HCRTR1, OX1R","Hypocretin receptor 1","HCRTR1",,,,
"PEF1","Peflin","PEF1",,,,
"COL16A1","Collagen XVI, alpha-1 polypeptide","COL16A1",,,,
"BAI2","Brain-specific angiongenesis inhibitor-2","ADGRB2",,,,
"PTP4A2, PTP4A, PRL2, HH13","Protein tyrosine phosphatase, type 4A, 2","PTP4A2",,,,
